polygon_interior_ring_edge_id,mounting_plane_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z
209,26,0.0,0.0,,,-411.34649852,-572.857492707,154.92205041539,,-570.768198562,-387.918411154,154.922486450477
207,26,0.0,0.0,,,-556.627967198,-375.729971373,168.888149495537,,-490.105458365,-318.38607676,234.591143305287
211,26,0.0,0.0,,,-330.683758323,-503.325158314,234.590707269712,,-395.310133528,-559.032899598,170.761290747218
212,26,0.0,0.0,,,-461.400351442,-351.681212506,234.593298255641,,-330.683758323,-503.325158314,234.590707269712
206,26,0.0,0.0,,,-490.105458365,-318.38607676,234.591143305287,,-461.400351442,-351.681212506,234.593298255641
210,26,0.0,0.0,,,-395.310133528,-559.032899598,170.761290747218,,-411.34649852,-572.857492707,154.92205041539
208,26,0.0,0.0,,,-570.768198562,-387.918411154,154.922486450477,,-556.627967198,-375.729971373,168.888149495537
35,3,0.0,0.0,,,306.248041295792,-6.62204745504152,321.246914956178,,311.657490288,-31.519686048,321.25344282715
28,3,0.0,0.0,,,338.566939968,-131.665358544,318.126121884944,,215.98425888,-158.283469632,396.721428716103
33,3,0.0,0.0,,,193.988195184,-57.074804976,396.69899784307,,152.055122976,-40.110237504,420.110304927052
32,3,0.0,0.0,,,174.098430768,-141.311028144,420.102762536636,,205.185045936,-108.488192448,396.696321378051
26,3,0.0,0.0,,,207.65748696,-154.889768736,401.366948337452,,174.098430768,-141.311028144,420.102762536636
27,3,0.0,0.0,,,215.98425888,-158.283469632,396.721428716103,,207.65748696,-154.889768736,401.366948337452
38,3,0.0,0.0,,,152.055122976,-40.110237504,420.110304927052,,183.145675152,-7.287401808,396.701453449245
30,3,0.0,0.0,,,327.751978992,-81.87008136,318.110655823778,,333.157490975821,-106.767719951173,318.119594013971
29,3,0.0,0.0,,,333.157490975821,-106.767719951173,318.119594013971,,338.566939968,-131.665358544,318.126121884944
36,3,0.0,0.0,,,300.842529312,18.275591136,321.237976765984,,306.248041295792,-6.62204745504152,321.246914956178
34,3,0.0,0.0,,,311.657490288,-31.519686048,321.25344282715,,193.988195184,-57.074804976,396.69899784307
31,3,0.0,0.0,,,205.185045936,-108.488192448,396.696321378051,,327.751978992,-81.87008136,318.110655823778
37,3,0.0,0.0,,,183.145675152,-7.287401808,396.701453449245,,300.842529312,18.275591136,321.237976765984
